marca,categoria,subcategoria,linea,producto,descripcion,aplicaciones,caracteristicas,specs,sku,variante,atributos,imagenes
SPAR,Sistemas para closet,,Venetto,Sistema corredizo colgante SD Closet Venetto simple,"Sistema corredizo colgante para 2 puertas, dentro del vano. Utiliza riel U20.",Ideal para puertas de closet.,Cantidad de puertas: 2|Espesor de puerta: 15–30 mm|Suavidad de rodadura,Capacidad de peso=30 Kg,10022068,SISTEMA CORREDIZO COLGANTE SD CLOSET VENETTO 002050,,
SPAR,Sistemas para closet,,Venetto,Riel en U-20,Geometría del riel y alineamiento de guía al piso para mayor seguridad de sujeción. Guía al piso ajustable.,,,,10022064,RIEL EN U-20 X 2MTS ALUMINIO VENETTO 005264,longitud=2 m,
SPAR,Sistemas para closet,,Venetto,Riel en U-20,Geometría del riel y alineamiento de guía al piso para mayor seguridad de sujeción. Guía al piso ajustable.,,,,10022065,RIEL EN U-20 X 3MTS ALUMINIO VENETTO 005265,longitud=3 m,
SPAR,Sistemas para closet,,Venetto,Sistema corredizo para madera SD 80 con freno,"Sistema corredizo para 1 puerta, fuera y dentro del vano. Utiliza riel U100. Con freno.",Ideal para puertas de paso y puertas embutidas.,Cantidad de puertas: 1|Espesor de puerta: 30 mm,Capacidad de peso=80 Kg,10022071,SISTEMA CORREDIZO SD 80 CON FRENO VENETTO 002053,,
SPAR,Sistemas para closet,,,Riel en U-100,Placa de montaje que permite insertar el perno de manera frontal; se puede apernar o soldar. Guía al piso.,,,,10022066,RIEL EN U-100 X 2MTS ALUMINIO VENETTO 007758,longitud=2 m|material=Aluminio,
SPAR,Sistemas para closet,,,Riel en U-100,Placa de montaje que permite insertar el perno de manera frontal; se puede apernar o soldar. Guía al piso.,,,,10004032,RIEL EN U-100 X 2MTS GALVANIZADO DUCASSE 10100608301,longitud=2 m|material=Galvanizado,
SPAR,Sistemas para closet,,,Riel en U-100,Placa de montaje que permite insertar el perno de manera frontal; se puede apernar o soldar. Guía al piso.,,,,10022067,RIEL EN U-100 X 3MTS ALUMINIO VENETTO 008039,longitud=3 m|material=Aluminio,
SPAR,Sistemas para closet,,,Riel en U-100,Placa de montaje que permite insertar el perno de manera frontal; se puede apernar o soldar. Guía al piso.,,,,10004033,RIEL EN U-100 X 3MTS GALVANIZADO DUCASSE 10100608302,longitud=3 m|material=Galvanizado,
SPAR,Sistemas para closet,,Venetto,Sistema corredizo para madera SD 25,No requiere riel metálico; se maquina ranura en base y techo del mueble. Para 2 puertas dentro del vano.,Ideal para muebles de cocina y oficina.,Cantidad de puertas: 2|Espesor de puerta: 15 mm,Capacidad de peso=25 Kg,10022072,SISTEMA CORREDIZO PARA MUEBLES SD 25 VENETTO 002054,,
SPAR,Sistemas para closet,,Venetto,Sistema corredizo para mueble SD 50,Sistema corredizo de closet que se puede instalar con carga al piso. Para 2 puertas.,,Cantidad de puertas: 2|Espesor de puerta: 15–30 mm,Capacidad de peso=50 Kg,10023118,SISTEMA CORREDIZO PARA MUEBLE SD 50 VENETTO 2895,,
