marca,categoria,subcategoria,linea,producto,descripcion,aplicaciones,caracteristicas,specs,sku,variante,atributos,imagenes
SPAR,Bisagras,Para mueble,Torino,Bisagra Torino parche y semiparche,Fabricada con chapa de acero niquelado. Cazoleta de 35 mm.,,Ángulo máximo de apertura de 110°|Montaje para puerta de 14 mm - 26 mm|Calibre: 0.6 / 0.9 / 0.9,Capacidad de peso=5 Kg|Resistencia a la corrosión=24 hr|Ciclos de vida=30.000,10029450,Bisagra Torino Semiparche 35MM-110° S/T 48084 4H,tipo=Semiparche|tornillos=Sin tornillos,
SPAR,Bisagras,Para mueble,,Bisagra 3D niquelada negro,Función de cierre suave bidireccional; ajuste flexible de cobertura 13–21 mm e instalación con clip.,,"Cierre suave y silencioso|Ángulo de apertura de 15° activa el cierre suave (anti-pellizco)|Rango de ajuste trasero 37 -2/+2,5 mm","Capacidad de peso=5,5 Kg|Resistencia a la corrosión=72 hr|Ciclos de vida=50.000",10030063,Bisagra 3D Acero Q195 Niquelado Negro,acabado=Niquelado negro,
SPAR,Bisagras,Para mueble,Torino,Bisagra Torino 165° sin tornillos,Fabricada en acero niquelado. Diámetro de cazoleta de 35 mm.,Ideal para puertas de despensa o muebles esquineros.,Ángulo máximo de apertura de 165°|Montaje para puerta de 14 mm - 22 mm|Calibre: 0.8 / 1.8 / 1.0,Capacidad de peso=5 Kg|Resistencia a la corrosión=24 hr,10009361,BISAGRA TORINO 165° PARCHE S/T,tipo=Parche,
SPAR,Bisagras,Para mueble,Torino,Bisagra Torino 165° sin tornillos,Fabricada en acero niquelado. Diámetro de cazoleta de 35 mm.,Ideal para puertas de despensa o muebles esquineros.,Ángulo máximo de apertura de 165°|Montaje para puerta de 14 mm - 22 mm|Calibre: 0.8 / 1.8 / 1.0,Capacidad de peso=5 Kg|Resistencia a la corrosión=24 hr,10009362,BISAGRA TORINO 165° SEMIPARCHE S/T,tipo=Semiparche,
SPAR,Bisagras,Para mueble,Mignon,Bisagra Spar Mignon,Recomendada para muebles metálicos; no requiere perforación de cazoleta.,,Ángulo máximo de apertura de 90°|Montaje para puerta de 18 mm|Calibre: 1.2,Capacidad de peso=5 Kg|Resistencia a la corrosión=24 hr,10009338,BISAGRA SPAR MIGNON SPAR BM001 S/T,,
SPAR,Bisagras,Para mueble,Slow Motion,Bisagra Spar cierre lento (Slow Motion) clip-on 4 perforaciones,Sistema de montaje clip-on. Fabricada en acero niquelado. Cazoleta de 35 mm.,,Ángulo máximo de apertura de 110°|Montaje para puerta de 14 mm - 26 mm|Sistema de montaje clip-on|Calibre: 0.7 / 1.0 / 1.0,Capacidad de peso=5 Kg|Resistencia a la corrosión=24 hr|Ciclos de vida=50.000,10023059,BISAGRA SPAR SLOW MOTION CLIP-ON 35MM SEMIPARCHE C/T 4H,tipo=Semiparche,
SPAR,Bisagras,Para mueble,Slow Motion,Bisagra Spar cierre lento (Slow Motion) clip-on 4 perforaciones,Sistema de montaje clip-on. Fabricada en acero niquelado. Cazoleta de 35 mm.,,Ángulo máximo de apertura de 110°|Montaje para puerta de 14 mm - 26 mm|Sistema de montaje clip-on|Calibre: 0.7 / 1.0 / 1.0,Capacidad de peso=5 Kg|Resistencia a la corrosión=24 hr|Ciclos de vida=50.000,10023058,BISAGRA SPAR SLOW MOTION CLIP-ON 35MM PARCHE C/T 4H,tipo=Parche,
SPAR,Bisagras,Para mueble,,Bisagra alta resistencia a la corrosión 72 horas,"Doble recubrimiento de zinc. Ideal para ambientes húmedos (cocinas, baños) y ciudades con alta salinidad.",,Ángulo máximo de apertura de 110°|Cazoleta de 35 mm|Mayor estabilidad por calibres más gruesos,Capacidad de peso=5 Kg|Resistencia a la corrosión=72 hr|Ciclos de vida=50.000,10030062,BISAGRA SPAR 35MM ALTA RESISTENCIA 72H PARCHE 4700 S/T,,
SPAR,Rieles,,Kit Cajón SPAR,Kit Cajón Spar Básico H 90mm 40 Kg-50cm,"Cajón con lata deslizante silenciosa de extracción completa, soporta hasta 40 kg. Ajuste automático de errores e instalación clip rápida.",,Acabado: acero con pintura electrostática|Altura de 90 mm|Riel cierre suave sincronizado|Contiene contenedores frontales y tapas decorativas,Capacidad de peso=40 Kg|Ciclos de vida=100.000,10029438,KIT CAJÓN SPAR BÁSICO H 90MM 40 KG-50CM BLANCO,acabado=Blanco,
SPAR,Rieles,,Kit Cajón SPAR,Kit Cajón Spar Básico H 90mm 40 Kg-50cm,"Cajón con lata deslizante silenciosa de extracción completa, soporta hasta 40 kg. Ajuste automático de errores e instalación clip rápida.",,Acabado: acero con pintura electrostática|Altura de 90 mm|Riel cierre suave sincronizado|Contiene contenedores frontales y tapas decorativas,Capacidad de peso=40 Kg|Ciclos de vida=100.000,10029439,KIT CAJÓN SPAR BÁSICO H 90MM 40 KG-50CM GRAFITO,acabado=Grafito,
SPAR,Rieles,,Kit Cajón SPAR,Kit Cajón Spar Básico H 175mm,"Cajón de extracción completa con lata deslizante silenciosa, soporta hasta 40 kg y ajuste automático de errores.",,Acabado: acero con pintura electrostática|Altura de 175 mm|Riel cierre suave sincronizado,Capacidad de peso=40 Kg,10029441,KIT CAJÓN SPAR BÁSICO H 175MM BLANCO,acabado=Blanco,
SPAR,Rieles,,Kit Cajón SPAR,Kit Cajón Spar Básico H 175mm,"Cajón de extracción completa con lata deslizante silenciosa, soporta hasta 40 kg y ajuste automático de errores.",,Acabado: acero con pintura electrostática|Altura de 175 mm|Riel cierre suave sincronizado,Capacidad de peso=40 Kg,10029440,KIT CAJÓN SPAR BÁSICO H 175MM GRAFITO,acabado=Grafito,
